__action__;loginEmail;password;title;firstName;lastName;nickName;businessPhone0;mobilePhone0;email0;jobTitle;userInfo1;userInfo2;country;language;timezone;isInitialized;visibility;authenticationType;service0;tags0;tags1;tags2;tags3;tags4;fileSharingCustomisation;userTitleNameCustomisation;tryNewUiCustomisation;softphoneOnlyCustomisation
update;agent1@sutd.edu.sg;P@ssword123;;;;agent1;;;;Agent;;;;;;true;;;;generalEnquiries;investment;;;;;;;
update;agent2@sutd.edu.sg;P@ssword123;;;;agent2;;;;Agent;;;;;;true;;;;banking;investment;;;;;;;
update;agent3@sutd.edu.sg;P@ssword123;;;;agent3;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent4@sutd.edu.sg;P@ssword123;;;;agent4;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent5@sutd.edu.sg;P@ssword123;;;;agent5;;;;Agent;;;;;;true;;;;banking;investment;;;;;;;
update;agent6@sutd.edu.sg;P@ssword123;;;;agent6;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent7@sutd.edu.sg;P@ssword123;;;;agent7;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent8@sutd.edu.sg;P@ssword123;;;;agent8;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent9@sutd.edu.sg;P@ssword123;;;;agent9;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent10@sutd.edu.sg;P@ssword123;;;;agent10;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent11@sutd.edu.sg;P@ssword123;;;;agent11;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent12@sutd.edu.sg;P@ssword123;;;;agent12;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent13@sutd.edu.sg;P@ssword123;;;;agent13;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent14@sutd.edu.sg;P@ssword123;;;;agent14;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent15@sutd.edu.sg;P@ssword123;;;;agent15;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent16@sutd.edu.sg;P@ssword123;;;;agent16;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent17@sutd.edu.sg;P@ssword123;;;;agent17;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent18@sutd.edu.sg;P@ssword123;;;;agent18;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent19@sutd.edu.sg;P@ssword123;;;;agent19;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent20@sutd.edu.sg;P@ssword123;;;;agent20;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent21@sutd.edu.sg;P@ssword123;;;;agent21;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent22@sutd.edu.sg;P@ssword123;;;;agent22;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent23@sutd.edu.sg;P@ssword123;;;;agent23;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent24@sutd.edu.sg;P@ssword123;;;;agent24;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent25@sutd.edu.sg;P@ssword123;;;;agent25;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent26@sutd.edu.sg;P@ssword123;;;;agent26;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent27@sutd.edu.sg;P@ssword123;;;;agent27;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent28@sutd.edu.sg;P@ssword123;;;;agent28;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent29@sutd.edu.sg;P@ssword123;;;;agent29;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent30@sutd.edu.sg;P@ssword123;;;;agent30;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent31@sutd.edu.sg;P@ssword123;;;;agent31;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent32@sutd.edu.sg;P@ssword123;;;;agent32;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent33@sutd.edu.sg;P@ssword123;;;;agent33;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent34@sutd.edu.sg;P@ssword123;;;;agent34;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent35@sutd.edu.sg;P@ssword123;;;;agent35;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent36@sutd.edu.sg;P@ssword123;;;;agent36;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent37@sutd.edu.sg;P@ssword123;;;;agent37;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent38@sutd.edu.sg;P@ssword123;;;;agent38;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent39@sutd.edu.sg;P@ssword123;;;;agent39;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent40@sutd.edu.sg;P@ssword123;;;;agent40;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent41@sutd.edu.sg;P@ssword123;;;;agent41;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent42@sutd.edu.sg;P@ssword123;;;;agent42;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent43@sutd.edu.sg;P@ssword123;;;;agent43;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent44@sutd.edu.sg;P@ssword123;;;;agent44;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent45@sutd.edu.sg;P@ssword123;;;;agent45;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent46@sutd.edu.sg;P@ssword123;;;;agent46;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent47@sutd.edu.sg;P@ssword123;;;;agent47;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent48@sutd.edu.sg;P@ssword123;;;;agent48;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent49@sutd.edu.sg;P@ssword123;;;;agent49;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent50@sutd.edu.sg;P@ssword123;;;;agent50;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent51@sutd.edu.sg;P@ssword123;;;;agent51;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent52@sutd.edu.sg;P@ssword123;;;;agent52;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent53@sutd.edu.sg;P@ssword123;;;;agent53;;;;Agent;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent54@sutd.edu.sg;P@ssword123;;;;agent54;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent55@sutd.edu.sg;P@ssword123;;;;agent55;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent56@sutd.edu.sg;P@ssword123;;;;agent56;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent57@sutd.edu.sg;P@ssword123;;;;agent57;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent58@sutd.edu.sg;P@ssword123;;;;agent58;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent59@sutd.edu.sg;P@ssword123;;;;agent59;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent60@sutd.edu.sg;P@ssword123;;;;agent60;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent61@sutd.edu.sg;P@ssword123;;;;agent61;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent62@sutd.edu.sg;P@ssword123;;;;agent62;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent63@sutd.edu.sg;P@ssword123;;;;agent63;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent64@sutd.edu.sg;P@ssword123;;;;agent64;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent65@sutd.edu.sg;P@ssword123;;;;agent65;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent66@sutd.edu.sg;P@ssword123;;;;agent66;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent67@sutd.edu.sg;P@ssword123;;;;agent67;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent68@sutd.edu.sg;P@ssword123;;;;agent68;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent69@sutd.edu.sg;P@ssword123;;;;agent69;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent70@sutd.edu.sg;P@ssword123;;;;agent70;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent71@sutd.edu.sg;P@ssword123;;;;agent71;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent72@sutd.edu.sg;P@ssword123;;;;agent72;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent73@sutd.edu.sg;P@ssword123;;;;agent73;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent74@sutd.edu.sg;P@ssword123;;;;agent74;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent75@sutd.edu.sg;P@ssword123;;;;agent75;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent76@sutd.edu.sg;P@ssword123;;;;agent76;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent77@sutd.edu.sg;P@ssword123;;;;agent77;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent78@sutd.edu.sg;P@ssword123;;;;agent78;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent79@sutd.edu.sg;P@ssword123;;;;agent79;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent80@sutd.edu.sg;P@ssword123;;;;agent80;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent81@sutd.edu.sg;P@ssword123;;;;agent81;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent82@sutd.edu.sg;P@ssword123;;;;agent82;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent83@sutd.edu.sg;P@ssword123;;;;agent83;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent84@sutd.edu.sg;P@ssword123;;;;agent84;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent85@sutd.edu.sg;P@ssword123;;;;agent85;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent86@sutd.edu.sg;P@ssword123;;;;agent86;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent87@sutd.edu.sg;P@ssword123;;;;agent87;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent88@sutd.edu.sg;P@ssword123;;;;agent88;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent89@sutd.edu.sg;P@ssword123;;;;agent89;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent90@sutd.edu.sg;P@ssword123;;;;agent90;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent91@sutd.edu.sg;P@ssword123;;;;agent91;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent92@sutd.edu.sg;P@ssword123;;;;agent92;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent93@sutd.edu.sg;P@ssword123;;;;agent93;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent94@sutd.edu.sg;P@ssword123;;;;agent94;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent95@sutd.edu.sg;P@ssword123;;;;agent95;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent96@sutd.edu.sg;P@ssword123;;;;agent96;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
update;agent97@sutd.edu.sg;P@ssword123;;;;agent97;;;;Agent;;;;;;true;;;;investment;banking;;;;;;;
