__action__;loginEmail;password;title;firstName;lastName;nickName;businessPhone0;mobilePhone0;email0;jobTitle;userInfo1;userInfo2;country;language;timezone;isInitialized;visibility;authenticationType;service0;tags0;tags1;tags2;tags3;tags4;fileSharingCustomisation;userTitleNameCustomisation;tryNewUiCustomisation;softphoneOnlyCustomisation
update;agent29@sutd.edu.sg;P@ssword123;;;;agent29;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent30@sutd.edu.sg;P@ssword123;;;;agent30;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent31@sutd.edu.sg;P@ssword123;;;;agent31;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent32@sutd.edu.sg;P@ssword123;;;;agent32;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent33@sutd.edu.sg;P@ssword123;;;;agent33;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent34@sutd.edu.sg;P@ssword123;;;;agent34;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent35@sutd.edu.sg;P@ssword123;;;;agent35;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent36@sutd.edu.sg;P@ssword123;;;;agent36;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent37@sutd.edu.sg;P@ssword123;;;;agent37;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent38@sutd.edu.sg;P@ssword123;;;;agent38;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent39@sutd.edu.sg;P@ssword123;;;;agent39;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent40@sutd.edu.sg;P@ssword123;;;;agent40;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent41@sutd.edu.sg;P@ssword123;;;;agent41;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent42@sutd.edu.sg;P@ssword123;;;;agent42;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent43@sutd.edu.sg;P@ssword123;;;;agent43;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent44@sutd.edu.sg;P@ssword123;;;;agent44;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
update;agent45@sutd.edu.sg;P@ssword123;;;;agent45;;;;;;;;;;true;;;;generalEnquiries;banking;;;;;;;
